Uniprot,Gene description,Organ,GO
P16444,Dipeptidase 1,Kidney,GO:0045177;GO:0016324;GO:0030054;GO:0070062;GO:0005615;GO:0031528;GO:0005654;GO:0005886;GO:0098552;GO:0008800;GO:0043027;GO:0016805;GO:0034235;GO:0070573;GO:0008235;GO:0072341;GO:0008270;GO:0016999;GO:0071277;GO:0071732;GO:0071466;GO:0006751;GO:0006749;GO:0050667;GO:0006954;GO:0072340;GO:1901749;GO:0043066;GO:0030336;GO:2000117;GO:0030593;GO:0006508
Q93099,"Homogentisate 1,2-dioxygenase",Kidney,GO:0005829;GO:0070062;GO:0004411;GO:0042802;GO:0046872;GO:0006559;GO:0006572
Q6ZWJ8,Kielin cysteine rich BMP regulator,Kidney,GO:0005576;GO:0030513
Q9NPH5,NADPH oxidase 4,Kidney,GO:0005783;GO:0005789;GO:0005925;GO:0016020;GO:0005739;GO:0043020;GO:0005730;GO:0005634;GO:0097038;GO:0048471;GO:0005886;GO:0009055;GO:0050660;GO:0020037;GO:0072341;GO:0016174;GO:0106294;GO:0000166;GO:0019826;GO:1990782;GO:0016175;GO:0106292;GO:0045453;GO:0055007;GO:0000902;GO:0071333;GO:0006952;GO:0010467;GO:0003015;GO:0050667;GO:0006954;GO:0008285;GO:2000573;GO:0070374;GO:0051897;GO:0061098;GO:1903409;GO:0042554;GO:0006801
O60500,"NPHS1 adhesion molecule, nephrin",Kidney,GO:0042995;GO:0005911;GO:0070062;GO:0005925;GO:0005886;GO:0036057;GO:0050839;GO:0017022;GO:0098609;GO:0010467;GO:0032836;GO:0007254;GO:0007520;GO:0072015;GO:0030838;GO:0035418;GO:0007519;GO:0036060
Q06710,Paired box 8,Kidney,GO:0000785;GO:0005654;GO:0005634;GO:0003677;GO:0001228;GO:0003700;GO:0000981;GO:0000978;GO:1990837;GO:0004996;GO:0000976;GO:0009653;GO:0001658;GO:0071371;GO:0007417;GO:0006351;GO:0042472;GO:0001822;GO:0003337;GO:0001823;GO:0072278;GO:0072221;GO:0072207;GO:0072289;GO:0072284;GO:1900215;GO:1900218;GO:0010667;GO:0072305;GO:1900212;GO:0007399;GO:0071599;GO:0090190;GO:0045893;GO:0072108;GO:2000594;GO:2000611;GO:0045944;GO:0039003;GO:0048793;GO:0042981;GO:0072307;GO:2000612;GO:0006357;GO:0007423;GO:0006790;GO:0030878;GO:0001655;GO:0003281
P52758,Reactive intermediate imine deaminase A homolog,Kidney,GO:0005737;GO:0005829;GO:0070062;GO:0005759;GO:0005739;GO:0005634;GO:0005777;GO:0120242;GO:0120243;GO:0019239;GO:0003729;GO:0003723;GO:0016892;GO:0019518;GO:0006629;GO:0006402;GO:0061157;GO:0017148
Q6PIS1,Solute carrier family 23 member 3,Kidney,GO:0016020;GO:0022857;GO:0035344
Q9UJW2,Tubulointerstitial nephritis antigen,Kidney,GO:0005604;GO:0005615;GO:0004197;GO:0000166;GO:0007155;GO:0006508
Q03154,Aminoacylase 1,Kidney,GO:0005829;GO:0070062;GO:0004046;GO:0042802;GO:0046872;GO:0006520
Q9BXJ7,Amnion associated transmembrane protein,Kidney,GO:0016324;GO:0031526;GO:0005905;GO:0030139;GO:0010008;GO:0070062;GO:0005615;GO:0016020;GO:0031528;GO:0005886;GO:0043235;GO:0038024;GO:0005102;GO:0009235;GO:0015889;GO:0043001;GO:0008104;GO:0006898;GO:0097017
Q8N8V4,Ankyrin repeat and sterile alpha motif domain containing 4B,Kidney,GO:0005903;GO:0005789;GO:0005902;GO:0005886;GO:1904970;GO:0030154;GO:1904106;GO:0065003;GO:0034976
Q9HBG4,ATPase H+ transporting V0 subunit a4,Kidney,GO:0045177;GO:0016324;GO:0016323;GO:0031526;GO:0005768;GO:0010008;GO:0070062;GO:0005765;GO:0030670;GO:0005886;GO:0033176;GO:0030672;GO:0016471;GO:0000220;GO:0051117;GO:0046961;GO:0051452;GO:0001503;GO:1902600;GO:0006885;GO:0097254;GO:0007605;GO:0097401;GO:0007035
O75309,Cadherin 16,Kidney,GO:0016323;GO:0070062;GO:0005886;GO:0005509;GO:0016339;GO:0007155;GO:0007156
P51800,Chloride voltage-gated channel Ka,Kidney,GO:0016323;GO:0034707;GO:0005886;GO:0005254;GO:0042802;GO:0046872;GO:0005247;GO:0006821;GO:0070293;GO:0030321
Q6UXF7,C-type lectin domain family 18 member B,Kidney,GO:0005768;GO:0005615;GO:0005794;GO:0016529;GO:0030247
Q8WW52,Family with sequence similarity 151 member A,Kidney,GO:0070062;GO:0005615;GO:0016020
Q9H756,Leucine rich repeat containing 19,Kidney,GO:0005886;GO:0038023;GO:0048874;GO:0043123;GO:1901224;GO:0001817;GO:0050727;GO:0002224
Q86UT5,PDZ domain containing 3,Kidney,GO:0043296;GO:0045177;GO:0016324;GO:0005903;GO:0005829;GO:0005886;GO:0030251;GO:0008200;GO:0043495;GO:0005102;GO:1990381;GO:0006811;GO:0010754;GO:0072659;GO:0007168;GO:0009636;GO:0006833
