Uniprot,Gene description,Organ,GO
Q96IY4,Carboxypeptidase B2,Liver,GO:0070062;GO:0005576;GO:0005615;GO:0004181;GO:0008270;GO:0007596;GO:0071333;GO:0042730;GO:0097421;GO:0051918;GO:2000346;GO:0010757;GO:0003331;GO:0030163;GO:0006508;GO:0009410
Q93088,Betaine--homocysteine S-methyltransferase,Liver,GO:0005829;GO:0070062;GO:0005634;GO:0047150;GO:0008270;GO:0071266;GO:0006579;GO:0006577;GO:0071267;GO:0006479;GO:0050666
P51857,Aldo-keto reductase family 1 member D1,Liver,GO:0005829;GO:0004033;GO:0004032;GO:0047787;GO:0047086;GO:0005496;GO:0016229;GO:0008209;GO:0006699;GO:0030573;GO:0008207;GO:0006707;GO:0007586
P02741,C-reactive protein,Liver,GO:0005576;GO:0005615;GO:0005509;GO:0033265;GO:0001849;GO:0042802;GO:0030169;GO:0050750;GO:0006953;GO:0050830;GO:0006954;GO:0045087;GO:0010888;GO:0010745;GO:0032945;GO:0008228;GO:0010628;GO:0032930;GO:0032677;GO:0042310
P02743,"Amyloid P component, serum",Liver,GO:0072562;GO:0062023;GO:0070062;GO:0005576;GO:0005615;GO:0005634;GO:0005509;GO:0030246;GO:0001849;GO:0042802;GO:0051082;GO:0046790;GO:0006953;GO:0051131;GO:0045087;GO:0044869;GO:0044871;GO:0002674;GO:1903016;GO:1903019;GO:0045656;GO:0046597;GO:0048525;GO:0061045;GO:0006457
Q68CJ9,CAMP responsive element binding protein 3 like 3,Liver,GO:0000785;GO:0005829;GO:0005783;GO:0005789;GO:0000139;GO:0016020;GO:0005654;GO:0005634;GO:0001228;GO:0000981;GO:0042802;GO:0046982;GO:0042803;GO:0000978;GO:0000977;GO:0000976;GO:0002675;GO:0045944;GO:0006357;GO:0034976;GO:0006986
P20853,Cytochrome P450 family 2 subfamily A member 7,Liver,GO:0005737;GO:0005789;GO:0043231;GO:0008392;GO:0020037;GO:0005506;GO:0016712;GO:0019825;GO:0009804;GO:0019373;GO:0006805
Q9H222,ATP binding cassette subfamily G member 5,Liver,GO:0016324;GO:0043190;GO:0005886;GO:0043235;GO:0140359;GO:0005524;GO:0016887;GO:0042626;GO:0120020;GO:0046872;GO:0046982;GO:0033344;GO:0042632;GO:0030299;GO:0045796;GO:0010949;GO:0010212;GO:0014850;GO:0007584;GO:0009410;GO:0015918;GO:0055085;GO:0070328
P02760,Alpha-1-microglobulin/bikunin precursor,Liver,GO:0072562;GO:0009986;GO:0062023;GO:0005829;GO:0005783;GO:0070062;GO:0005576;GO:0005615;GO:0005743;GO:0031965;GO:0005886;GO:0019855;GO:0046904;GO:0030246;GO:0020037;GO:0019862;GO:0016491;GO:0042803;GO:0004867;GO:0007155;GO:0007565;GO:0042167;GO:0050777;GO:0046329
P22310,UDP glucuronosyltransferase family 1 member A4,Liver,GO:0005783;GO:0005789;GO:0019899;GO:0004857;GO:0015020;GO:0046982;GO:0042803;GO:0006789;GO:0052695;GO:0042167;GO:2001030;GO:0045922;GO:0070640
