Uniprot,Gene description,Organ,GO
P0CAP1,Myocardial zonula adherens protein,Heart,GO:0070161;GO:0030864;GO:0009898;GO:0031674;GO:0005665;GO:0030018;GO:0035556
O76041,Nebulette,Heart,GO:0070062;GO:0031674;GO:0001725;GO:0030018;GO:0051015;GO:0008092;GO:0031005;GO:0008307;GO:0005523;GO:0071691
P52952,NK2 homeobox 5,Heart,GO:0000785;GO:0005737;GO:1990664;GO:0005654;GO:0005634;GO:0032991;GO:0032993;GO:0090575;GO:0005667;GO:0003682;GO:0003677;GO:0001216;GO:0001228;GO:0003700;GO:0000981;GO:0042803;GO:0000978;GO:0061629;GO:0043565;GO:1990837;GO:0000976;GO:0007512;GO:0003180;GO:0003278;GO:0055014;GO:0003228;GO:0060413;GO:0060928;GO:0060929;GO:0003162;GO:0003166;GO:0003161;GO:0055013;GO:0060038;GO:0060048;GO:0055008;GO:0060411;GO:0003211;GO:0030154;GO:0035050;GO:0060971;GO:1904019;GO:0030855;GO:0050673;GO:0007507;GO:0001947;GO:0003007;GO:0060347;GO:0030097;GO:0043066;GO:0090090;GO:0010667;GO:0045892;GO:1904036;GO:0010832;GO:0000122;GO:0003148;GO:0060037;GO:0051891;GO:0008284;GO:0045893;GO:0050679;GO:0010628;GO:0045823;GO:0045666;GO:0010765;GO:0045944;GO:0060261;GO:0003342;GO:0003350;GO:0003168;GO:1903779;GO:0060043;GO:0055117;GO:0006355;GO:0006357;GO:0003221;GO:0003285;GO:0048536;GO:0030878;GO:0006366;GO:0001570;GO:0055015;GO:0055005;GO:0060412;GO:0003222
Q96HC4,PDZ and LIM domain 5,Heart,GO:0015629;GO:0005912;GO:0042995;GO:0005829;GO:0031941;GO:0016020;GO:0014069;GO:0098793;GO:0001725;GO:0030018;GO:0003779;GO:0042805;GO:0098641;GO:0046872;GO:0051371;GO:0005080;GO:0030036;GO:0061049;GO:0007507;GO:0061061;GO:0061001;GO:0051963
Q8NBV4,Phospholipid phosphatase 7 (inactive),Heart,GO:0005789;GO:0016020;GO:0005635;GO:0042392;GO:0010832
E9PB15,Prostaglandin E synthase 3 like,Heart,GO:0005829;GO:0005634;GO:0051879;GO:0051087;GO:0051131;GO:0006457
P0DPB3,Schwannomin interacting protein 1,Heart,GO:0030054;GO:0005737;GO:0005886;GO:0042802;GO:0035332
Q9UMR3,T-box transcription factor 20,Heart,GO:0000785;GO:0005737;GO:0005634;GO:0001228;GO:0000981;GO:0000978;GO:0000977;GO:0061629;GO:1990837;GO:0003180;GO:0060413;GO:0036302;GO:0003171;GO:0008015;GO:0001569;GO:0003207;GO:0055008;GO:0003215;GO:0003279;GO:0001708;GO:0008283;GO:0009953;GO:0036306;GO:0003143;GO:0003272;GO:0003203;GO:0001706;GO:0035922;GO:0001947;GO:0048370;GO:0014031;GO:0097475;GO:0006936;GO:0045892;GO:0060392;GO:0000122;GO:0003148;GO:0003344;GO:0043065;GO:0030513;GO:0060045;GO:0090068;GO:0010718;GO:0003193;GO:0060577;GO:0006357;GO:0003175;GO:0001570;GO:0021524
P00568,Adenylate kinase 1,Heart,GO:0005737;GO:0005829;GO:0070062;GO:0001520;GO:0047506;GO:0004017;GO:0005524;GO:0004550;GO:0006172;GO:0046033;GO:0046034;GO:0015949;GO:0009142
Q6ZVZ8,Ankyrin repeat and SOCS box containing 18,Heart,GO:0005829;GO:0035556;GO:0016567
Q9P2W6,Chromosome 11 open reading frame 21,Heart,GO:0005737
Q8N9M1,Chromosome 19 open reading frame 47,Heart,GO:0005654;GO:0005634
Q13554,Calcium/calmodulin dependent protein kinase II beta,Heart,GO:0005954;GO:0005813;GO:0005737;GO:0005829;GO:0030666;GO:0043005;GO:0005654;GO:0014069;GO:0033017;GO:0003779;GO:0005524;GO:0004683;GO:0005516;GO:0042802;GO:0042803;GO:0106310;GO:0030154;GO:0007399;GO:0061003;GO:0010976;GO:0090129;GO:0046777;GO:0006468;GO:0051924;GO:0060998;GO:0048169;GO:2001222;GO:0048168;GO:1903076;GO:0014733;GO:0051823;GO:0007165
O14958,Calsequestrin 2,Heart,GO:0034704;GO:0005737;GO:0014701;GO:0016529;GO:0033018;GO:0033017;GO:0030018;GO:0005509;GO:0140314;GO:0048306;GO:0042803;GO:0060048;GO:0071313;GO:0005513;GO:0006874;GO:1901017;GO:0043267;GO:0060315;GO:0051258;GO:0086029;GO:0010881;GO:0010649;GO:0002027;GO:0060306;GO:0010880;GO:0051208;GO:0006941
Q07002,Cyclin dependent kinase 18,Heart,GO:0005737;GO:0005739;GO:0005634;GO:0005524;GO:0004693;GO:0106310;GO:0031643;GO:1901987
Q86Y22,Collagen type XXIII alpha 1 chain,Heart,GO:0005604;GO:0009986;GO:0005581;GO:0062023;GO:0005788;GO:0005615;GO:0005886;GO:0030020;GO:0008201;GO:0042802;GO:0030198
Q9Y3Q4,Hyperpolarization activated cyclic nucleotide gated potassium channel 4,Heart,GO:0030424;GO:0030425;GO:0098855;GO:0048471;GO:0005886;GO:0030552;GO:0042802;GO:0005222;GO:0005249;GO:0086041;GO:0005248;GO:0008015;GO:0071320;GO:0071321;GO:0086012;GO:0086046;GO:0006812;GO:0006936;GO:1990573;GO:0071805;GO:0098909;GO:0055117;GO:0002027;GO:0086091;GO:0003254;GO:0042391;GO:0086015;GO:0003163;GO:0098719;GO:0035725
Q16082,Heat shock protein family B (small) member 2,Heart,GO:0005737;GO:0005829;GO:0005634;GO:0008047;GO:0005212;GO:0051082;GO:0043066;GO:0042026;GO:0009408;GO:0006986;GO:0007525
P54296,Myomesin 2,Heart,GO:0031430;GO:0005739;GO:0032982;GO:0019900;GO:0008307;GO:0002074;GO:0006936;GO:0045214
O43677,NADH:ubiquinone oxidoreductase subunit C1,Heart,GO:0005743;GO:0005739;GO:0045271;GO:0008137;GO:0009060;GO:0006120;GO:0032981;GO:0042776
