Uniprot,Gene description,Organ,GO
P48050,Potassium inwardly rectifying channel subfamily J member 4,Brain,GO:0016323;GO:0030659;GO:0005886;GO:0045211;GO:0008076;GO:0005242;GO:0030165;GO:1990573;GO:0006813;GO:0034765
Q6TCH4,Progestin and adipoQ receptor family member 6,Brain,GO:0005886;GO:0038023;GO:0005496
Q14832,Glutamate metabotropic receptor 3,Brain,GO:0097449;GO:0030424;GO:0043197;GO:0098978;GO:0005886;GO:0014069;GO:0045211;GO:0042734;GO:0005246;GO:0004930;GO:0008066;GO:0001641;GO:0097110;GO:0033554;GO:0007268;GO:0007216;GO:0010467;GO:0007194;GO:0099170;GO:0051966
Q9Y5N1,Histamine receptor H3,Brain,GO:0030425;GO:0005886;GO:0098793;GO:0045202;GO:0004969;GO:0030594;GO:0007197;GO:0007268;GO:0007187;GO:0007269
Q14576,ELAV like RNA binding protein 3,Brain,GO:1990904;GO:0035925;GO:0030154;GO:0007399
Q99689,Fasciculation and elongation protein zeta 1,Brain,GO:0030424;GO:0005813;GO:0005737;GO:0030425;GO:0005794;GO:0030426;GO:0005874;GO:0043025;GO:0005886;GO:0043015;GO:0005080;GO:0007411;GO:0007155;GO:0071363;GO:0030010;GO:0051654;GO:0021766;GO:0007005;GO:1902902;GO:0007399;GO:0061881;GO:0010976
Q6PIU1,Potassium voltage-gated channel modifier subfamily V member 1,Brain,GO:0045171;GO:0016020;GO:0005886;GO:0008076;GO:0008200;GO:0015459;GO:0005249;GO:0001508;GO:0071805;GO:0006813;GO:0051260
P54829,Protein tyrosine phosphatase non-receptor type 5,Brain,GO:0030054;GO:0005829;GO:0005789;GO:0016020;GO:0005654;GO:0005886;GO:0140793;GO:0004726;GO:0001784;GO:0019901;GO:0004725;GO:0030946;GO:0006470;GO:0007165
Q8N4K4,Reprimo like,Brain,GO:0016020
Q9NS82,Solute carrier family 7 member 10,Brain,GO:0016020;GO:0005886;GO:0015179;GO:0015194;GO:0015175;GO:0006865;GO:0042941;GO:0042942;GO:0015816;GO:1903444;GO:0015804;GO:0060094
Q8NCB2,CaM kinase like vesicle associated,Brain,GO:0005737;GO:0030659;GO:0098978;GO:0005886;GO:0045202;GO:0005524;GO:0004683;GO:0005516;GO:0050804;GO:0099159;GO:0007165
P48742,LIM homeobox 1,Brain,GO:0000785;GO:0005634;GO:0032991;GO:0005667;GO:0000987;GO:0003700;GO:0000981;GO:0000977;GO:1990837;GO:0008270;GO:0048646;GO:0009653;GO:0009887;GO:0009948;GO:0009952;GO:0001658;GO:0007267;GO:0044344;GO:0021702;GO:0021937;GO:0021549;GO:0060067;GO:0072049;GO:0097379;GO:0009953;GO:0001705;GO:0009880;GO:0060059;GO:0048703;GO:0001706;GO:0060429;GO:0021871;GO:0001702;GO:0060322;GO:0001822;GO:0097477;GO:0048382;GO:0072177;GO:0072278;GO:0072224;GO:0035502;GO:0072283;GO:0072284;GO:0008045;GO:0045892;GO:0035849;GO:0072178;GO:0007399;GO:0030182;GO:0060066;GO:0035846;GO:0061205;GO:0007389;GO:2000744;GO:0090190;GO:0045893;GO:0040019;GO:2000543;GO:2000768;GO:0009791;GO:0090009;GO:0048793;GO:0010468;GO:0006357;GO:0072077;GO:0010842;GO:0072050;GO:0032525;GO:0021527;GO:0021537;GO:0006366;GO:0072197;GO:0001657;GO:0001655;GO:0035847;GO:0060065;GO:0060068;GO:0021517
