Uniprot,Gene description,Organ,GO
Q9NQI0,DEAD-box helicase 4,Testis,GO:0005737;GO:0005634;GO:0043186;GO:0048471;GO:0071546;GO:0071547;GO:0005524;GO:0016887;GO:0140849;GO:0140665;GO:0140584;GO:0061775;GO:0003689;GO:0140693;GO:0003729;GO:0003724;GO:0030154;GO:0030317;GO:0007276;GO:0007281;GO:0007141;GO:0007140;GO:0034587;GO:0007283;GO:0141196;GO:0141006
Q6NT46,G antigen 2A,Testis,
Q5MJ07,SPANX family member N5,Testis,
Q8IZU3,Synaptonemal complex protein 3,Testis,GO:0000775;GO:0000800;GO:0005634;GO:0000795;GO:0003677;GO:0051301;GO:0007141;GO:0051321;GO:0035092;GO:0007286
Q9BYZ2,Lactate dehydrogenase A like 6B,Testis,GO:0005737;GO:0005759;GO:0005739;GO:0005634;GO:1990204;GO:0004459;GO:0006089;GO:0006090
O15480,MAGE family member B3,Testis,GO:0005634;GO:0000122
H3BTG2,Testis expressed 46,Testis,GO:0007338
Q96PP4,Testis specific 13,Testis,
A1L429,G antigen 12E,Testis,
Q86UG4,Solute carrier organic anion transporter family member 6A1,Testis,GO:0016323;GO:0015347;GO:0043252
Q6ZQQ2,SPATA31 subfamily D member 1,Testis,GO:0016020;GO:0030154;GO:0007283
Q3KNT9,Transmembrane protein 95,Testis,GO:0002080;GO:0097524;GO:0007342
Q8IXT2,DMRT like family C2,Testis,GO:0000785;GO:0005634;GO:0001741;GO:0000981;GO:0042802;GO:0046872;GO:1990837;GO:0070828;GO:0007141;GO:0007548;GO:0007290
Q8IYT1,Golgi associated RAB2 interactor family member 4,Testis,GO:0005794;GO:0005634;GO:0007030
Q08AF8,Golgin A8 family member F,Testis,
Q8WWH4,"Ankyrin repeat, SAM and basic leucine zipper domain containing 1",Testis,GO:0005737;GO:0071546;GO:0030154;GO:0007140;GO:0031047;GO:0007283;GO:0010526
Q9BXU3,Testis expressed 13A,Testis,GO:0046872;GO:0003729
Q969F0,Fetal and adult testis expressed 1,Testis,GO:0005783;GO:0005789;GO:0044233;GO:0005741;GO:0042802;GO:0031625;GO:0006915;GO:0043066;GO:0051562
Q9BXA6,Testis specific serine kinase 6,Testis,GO:0160110;GO:0005634;GO:0036126;GO:0004676;GO:0004679;GO:0005524;GO:0004677;GO:0004694;GO:0044024;GO:0072371;GO:1990244;GO:0035979;GO:0044025;GO:0140823;GO:0035175;GO:0044022;GO:0140855;GO:0035402;GO:0072354;GO:0140857;GO:0035403;GO:0044023;GO:0000287;GO:0106310;GO:0004674;GO:0044877;GO:0072518;GO:0004711;GO:0030317;GO:0006468;GO:0035092
O15481,MAGE family member B4,Testis,GO:0005737;GO:0005634;GO:0000122
Q9NRJ5,Poly(A) polymerase beta,Testis,GO:0005783;GO:0005634;GO:0005524;GO:0046872;GO:1990817;GO:0003723;GO:0006397;GO:0031123
Q8N6V4,Chromosome 10 open reading frame 53,Testis,
Q96RT6,Cutaneous T cell lymphoma-associated antigen 1,Testis,GO:0070971;GO:0005789;GO:0006888;GO:0009306;GO:0035459
Q6X784,Zona pellucida binding protein 2,Testis,GO:0001669;GO:0044297;GO:0005576;GO:0016020;GO:0005634;GO:0002199;GO:0001675;GO:0007339;GO:0032922;GO:0046466;GO:0002638;GO:0006665
Q569G3,Chromosome 5 open reading frame 47,Testis,
Q8NDV3,Structural maintenance of chromosomes 1B,Testis,GO:0000775;GO:0005829;GO:0000800;GO:0030893;GO:0005654;GO:0005634;GO:0005524;GO:0016887;GO:0003677;GO:0051321;GO:0007062
Q5W0N0,Chromosome 9 open reading frame 57,Testis,GO:0016020
