Uniprot,Gene description,Organ,GO
Q8N1E2,Lysozyme g1,Kidney,GO:0005576;GO:0003796;GO:0050830;GO:0009253
Q14055,Collagen type IX alpha 2 chain,Brain,GO:0005594;GO:0062023;GO:0005788;GO:0005576;GO:0005615;GO:0030020;GO:0042803;GO:0030198;GO:0001501
Q6UXF7,C-type lectin domain family 18 member B,Kidney,GO:0005768;GO:0005615;GO:0005794;GO:0016529;GO:0030247
O95409,Zic family member 2,Brain,GO:0005737;GO:0016604;GO:0005654;GO:0005634;GO:0031490;GO:0003677;GO:0003700;GO:0000981;GO:0046872;GO:0000978;GO:0007420;GO:0030154;GO:0007417;GO:0045892;GO:0051091;GO:0045893;GO:0006357;GO:0007601
P0DM35,Metallothionein 1H like 1,Heart,GO:0005737;GO:0005634;GO:0046872;GO:0071276;GO:0071280;GO:0071294;GO:0010273;GO:0006882
O00321,ETS variant transcription factor 2,Testis,GO:0005634;GO:0001228;GO:0000981;GO:0000978;GO:1990837;GO:0001824;GO:0048514;GO:0030509;GO:0030218;GO:0001707;GO:0007219;GO:0001890;GO:0045603;GO:0010628;GO:2000382;GO:0006357;GO:0016055
O95447,Lebercilin LCA5 like,Testis,GO:0005930;GO:0042073
Q8NI99,Angiopoietin like 6,Liver,GO:0062023;GO:0070062;GO:0005615;GO:0030141;GO:0005102;GO:0001525;GO:0007596;GO:0030154
Q496J9,Synaptic vesicle glycoprotein 2C,Brain,GO:0098691;GO:0005886;GO:0008021;GO:0030672;GO:0022857;GO:0007268;GO:0006836;GO:2000300
P42857,Neuronal vesicle trafficking associated 1,Brain,GO:0005737;GO:0030425;GO:0031901;GO:0005783;GO:0005789;GO:0005768;GO:0098978;GO:0032580;GO:0005770;GO:0016328;GO:0043202;GO:0016020;GO:0032585;GO:0005634;GO:0098845;GO:0045211;GO:0055038;GO:0036477;GO:0032588;GO:0032051;GO:0035255;GO:0042982;GO:0006915;GO:0048268;GO:0016197;GO:0099627;GO:0098887;GO:0001921;GO:0099630;GO:0001881;GO:1900271;GO:0098814;GO:0099003
Q8N1C3,Gamma-aminobutyric acid type A receptor subunit gamma1,Brain,GO:0034707;GO:0032590;GO:1902711;GO:0043005;GO:0005886;GO:0098794;GO:0045211;GO:0045202;GO:1902495;GO:0050811;GO:0004890;GO:0022851;GO:1902476;GO:0007214;GO:1904862;GO:0060078;GO:0051932
A6NKN8,Purkinje cell protein 4 like 1,Brain,
Q8N3R3,"T cell activation inhibitor, mitochondrial",Liver,GO:0005739
Q5MJ10,SPANX family member N2,Testis,
Q3LI62,Keratin associated protein 20-4,Testis,GO:0005882
Q9BX70,BTB domain containing 2,Brain,GO:0005829;GO:0000932;GO:0022008
Q5VWW1,Complement C1q like 3,Brain,GO:0005581;GO:0098978;GO:0098686;GO:0043083;GO:0042802;GO:0099645;GO:0097107;GO:0050807
Q8IU80,Transmembrane serine protease 6,Liver,GO:0005615;GO:0005886;GO:0004222;GO:0004252;GO:0030509;GO:0030574;GO:0022617;GO:0006879;GO:0033619;GO:0060586;GO:0030514;GO:0045892;GO:0000122;GO:0045944;GO:0097264
Q9NY72,Sodium voltage-gated channel beta subunit 3,Brain,GO:0016020;GO:0005886;GO:0001518;GO:0030018;GO:0019871;GO:0017080;GO:0044325;GO:0086006;GO:0086014;GO:0086002;GO:0060048;GO:0051899;GO:0086010;GO:0086012;GO:0007399;GO:0010460;GO:0010765;GO:0072659;GO:0060371;GO:0086091;GO:0060373;GO:0086015;GO:0035725;GO:0006814;GO:0086005
P11137,Microtubule associated protein 2,Brain,GO:0150014;GO:0043203;GO:0043194;GO:0097441;GO:0005737;GO:0005829;GO:0030425;GO:0032839;GO:0044307;GO:1902737;GO:0044294;GO:0043198;GO:0150002;GO:0005874;GO:0005875;GO:0043005;GO:0043025;GO:0150001;GO:1990635;GO:1990769;GO:0005516;GO:0002162;GO:0008017;GO:0005198;GO:0048156;GO:0021954;GO:0016358;GO:0048813;GO:0000226;GO:0030517;GO:1904527;GO:0031115;GO:0031175;GO:1901953;GO:1903744;GO:0031113;GO:1902513;GO:0032880
Q96A25,Transmembrane protein 106A,Kidney,GO:0005886;GO:0035780;GO:0035781;GO:0045087;GO:0042116;GO:0043123;GO:0032731;GO:0032755;GO:0043410;GO:0045348;GO:1904407;GO:0032760
Q9H3S3,Transmembrane serine protease 5,Brain,GO:0043025;GO:0005886;GO:0008233;GO:0004252;GO:0006508
