Uniprot,GO
Q14439,GO:0005886;GO:0045202;GO:0004930;GO:0007193;GO:0007268;GO:0048512;GO:0007186
O00744,GO:0005576;GO:0005615;GO:0005125;GO:0005109;GO:0048018;GO:0060346;GO:0060070;GO:0045165;GO:0071320;GO:0071374;GO:0071300;GO:0002062;GO:0030855;GO:0045444;GO:0061196;GO:0000086;GO:0071425;GO:0006629;GO:0048627;GO:0014835;GO:0120163;GO:0050680;GO:0045599;GO:0000122;GO:0030182;GO:0001649;GO:0043065;GO:0030501;GO:0090263;GO:0030858;GO:0010971;GO:1902035;GO:0045669;GO:0045899;GO:0045582;GO:0051885;GO:0050821;GO:0032434;GO:0048641;GO:0050909;GO:0048741;GO:0007224;GO:0030217;GO:0006366
Q6WBX8,GO:0030896;GO:0005654;GO:0005634;GO:0071479;GO:0006281;GO:0000076;GO:0031573
Q96MB7,GO:0034451;GO:0005829;GO:0005634;GO:0005886;GO:0046872;GO:0004518
Q09470,GO:0070161;GO:0016324;GO:0043194;GO:0043679;GO:0044305;GO:0030054;GO:0009986;GO:0031410;GO:0005829;GO:0030425;GO:0005783;GO:0098978;GO:0044224;GO:0016020;GO:0043025;GO:0033270;GO:0043204;GO:0005886;GO:0045211;GO:0042734;GO:0045202;GO:0008076;GO:0005251;GO:0097718;GO:1905030;GO:0099508;GO:0005249;GO:0001508;GO:0061564;GO:0010644;GO:0071286;GO:0021987;GO:0022038;GO:0050966;GO:0050976;GO:0021766;GO:0010960;GO:0086011;GO:0007405;GO:0050905;GO:0019228;GO:0023041;GO:0021554;GO:0071805;GO:0051260;GO:0008104;GO:0042391;GO:0006937;GO:0001964
Q96FC7,GO:0005737
Q96IC2,GO:0070062;GO:0005730;GO:0005634;GO:0004527;GO:0003723;GO:0031125
Q96SA4,GO:0070062;GO:0016020
Q8N428,GO:0005794;GO:0000139;GO:0030246;GO:0046872;GO:0004653;GO:0006493;GO:0018242;GO:0018243
Q9H4F8,GO:0005604;GO:0005615;GO:0005509;GO:0050840;GO:0008201;GO:0030154;GO:0030198;GO:0001654;GO:0060173;GO:0045667
